id_transformador,Fabricante,Ano de Fabricação,Potência KVA,Tensão KV,Volume de Óleo
TR01,WEG,2016.0,25000.0,138.0,12870.0
TR02,WEG,2016.0,20833.0,138.0,8100.0
TR03,ALSTOM,2014.0,63330.0,500.0,14970.0
TR04,ITEL,1980.0,15000.0,69.0,8860.0
TR05,TRAFO,1988.0,6250.0,69.0,2854.0
TR06,TRAFO,2008.0,26600.0,69.0,9200.0
TR07,AREVA,2008.0,32000.0,230.0,52800.0
TR08,ABB,2019.0,2500.0,34.5,1458.0
TR09,XD,2018.0,385000.0,535.0,189000.0
TR10,ABB,2019.0,2500.0,34.5,1458.0
TR11,AREVA,2010.0,20000.0,230.0,12300.0
TR12,WEG,2016.0,1000.0,13.8,870.0
TR13,COMTRAFO,2011.0,750.0,13.8,525.0
TR14,COMTRAFO,2018.0,4000.0,34.5,6380.0
TR15,COMTRAFO,2018.0,4000.0,34.5,6830.0
TR16,WEG,2018.0,100000.0,500.0,30955.0
TR17,COMTRAFO,2018.0,6300.0,34.5,4250.0
TR18,TOSHIBA,2013.0,26000.0,69.0,13550.0
TR19,CEMEC,2000.0,40000.0,69.0,14055.0
TR20,TOSHIBA,2005.0,25000.0,69.0,11100.0
TR21,TRAFO,2007.0,5000.0,34.5,3050.0
TR22,WEG,2019.0,150000.0,230.0,47890.0
TR23,COMTRAFO,2011.0,26600.0,69.0,10500.0
TR24,SIEMENS,2017.0,100000.0,500.0,26800.0
TR25,WEG,2021.0,12500.0,69.0,8350.0
TR26,ABB,2019.0,2500.0,34.5,1458.0
TR27,ALSTOM,2013.0,65000.0,500.0,14600.0
TR28,ABB,2019.0,2500.0,34.5,1458.0
TR29,ALSTOM,2017.0,388830.0,600.0,111200.0
TR30,ALSTOM,2014.0,65000.0,500.0,14700.0
