id_transformador,data_amostragem,condicao_operacao,gas,valor_ppm
TR01,2026-02-06,Normal,Acetileno,0.0
TR01,2025-07-30,Normal,Acetileno,0.0
TR01,2024-12-31,Normal,Acetileno,0.0
TR01,2024-06-28,Normal,Acetileno,0.0
TR01,2023-02-14,Normal,Acetileno,0.0
TR01,2022-07-01,Normal,Acetileno,0.0
TR01,2021-07-25,Normal,Acetileno,0.0
TR01,2020-08-31,Normal,Acetileno,0.0
TR01,2019-12-13,Normal,Acetileno,0.0
TR01,2019-04-03,Normal,Acetileno,0.0
TR01,2018-09-19,Normal,Acetileno,0.0
TR01,2018-03-15,Normal,Acetileno,0.0
TR01,2017-08-02,Normal,Acetileno,0.0
TR01,2026-02-06,Normal,Dióxido de Carbono,2404.0
TR01,2025-07-30,Normal,Dióxido de Carbono,1733.0
TR01,2024-12-31,Normal,Dióxido de Carbono,2013.0
TR01,2024-06-28,Normal,Dióxido de Carbono,1750.0
TR01,2023-02-14,Normal,Dióxido de Carbono,1201.0
TR01,2022-07-01,Normal,Dióxido de Carbono,1174.0
TR01,2021-07-25,Normal,Dióxido de Carbono,777.0
TR01,2020-08-31,Normal,Dióxido de Carbono,962.0
TR01,2019-12-13,Normal,Dióxido de Carbono,362.0
TR01,2019-04-03,Normal,Dióxido de Carbono,729.0
TR01,2018-09-19,Normal,Dióxido de Carbono,266.0
TR01,2018-03-15,Normal,Dióxido de Carbono,220.0
TR01,2017-08-02,Normal,Dióxido de Carbono,214.0
TR01,2026-02-06,Normal,Etano,0.0
TR01,2025-07-30,Normal,Etano,0.0
TR01,2024-12-31,Normal,Etano,0.0
TR01,2024-06-28,Normal,Etano,1.0
TR01,2023-02-14,Normal,Etano,0.0
TR01,2022-07-01,Normal,Etano,1.0
TR01,2021-07-25,Normal,Etano,0.0
TR01,2020-08-31,Normal,Etano,0.0
TR01,2019-12-13,Normal,Etano,0.0
TR01,2019-04-03,Normal,Etano,0.0
TR01,2018-09-19,Normal,Etano,0.0
TR01,2018-03-15,Normal,Etano,0.0
TR01,2017-08-02,Normal,Etano,0.0
TR01,2026-02-06,Normal,Etileno,14.0
TR01,2025-07-30,Normal,Etileno,0.0
TR01,2024-12-31,Normal,Etileno,0.0
TR01,2024-06-28,Normal,Etileno,0.0
TR01,2023-02-14,Normal,Etileno,0.0
TR01,2022-07-01,Normal,Etileno,0.0
TR01,2021-07-25,Normal,Etileno,0.0
TR01,2020-08-31,Normal,Etileno,0.0
TR01,2019-12-13,Normal,Etileno,0.0
TR01,2019-04-03,Normal,Etileno,3.0
TR01,2018-09-19,Normal,Etileno,0.0
TR01,2018-03-15,Normal,Etileno,0.0
TR01,2017-08-02,Normal,Etileno,16.0
TR01,2026-02-06,Normal,Hidrogênio,66.0
TR01,2025-07-30,Normal,Hidrogênio,190.0
TR01,2024-12-31,Normal,Hidrogênio,12.0
TR01,2024-06-28,Normal,Hidrogênio,6.0
TR01,2023-02-14,Normal,Hidrogênio,9.0
TR01,2022-07-01,Normal,Hidrogênio,7.0
TR01,2021-07-25,Normal,Hidrogênio,24.0
TR01,2020-08-31,Normal,Hidrogênio,0.0
TR01,2019-12-13,Normal,Hidrogênio,97.0
TR01,2019-04-03,Normal,Hidrogênio,0.0
TR01,2018-09-19,Normal,Hidrogênio,25.0
TR01,2018-03-15,Normal,Hidrogênio,7.0
TR01,2017-08-02,Normal,Hidrogênio,7.0
TR01,2026-02-06,Normal,Metano,1.0
TR01,2025-07-30,Normal,Metano,4.0
TR01,2024-12-31,Normal,Metano,2.0
TR01,2024-06-28,Normal,Metano,5.0
TR01,2023-02-14,Normal,Metano,4.0
TR01,2022-07-01,Normal,Metano,3.0
TR01,2021-07-25,Normal,Metano,2.0
TR01,2020-08-31,Normal,Metano,0.0
TR01,2019-12-13,Normal,Metano,1.0
TR01,2019-04-03,Normal,Metano,0.0
TR01,2018-09-19,Normal,Metano,0.0
TR01,2018-03-15,Normal,Metano,1.0
TR01,2017-08-02,Normal,Metano,0.0
TR01,2026-02-06,Normal,Monóxido de Carbono,362.0
TR01,2025-07-30,Normal,Monóxido de Carbono,316.0
TR01,2024-12-31,Normal,Monóxido de Carbono,328.0
TR01,2024-06-28,Normal,Monóxido de Carbono,369.0
TR01,2023-02-14,Normal,Monóxido de Carbono,265.0
TR01,2022-07-01,Normal,Monóxido de Carbono,247.0
TR01,2021-07-25,Normal,Monóxido de Carbono,186.0
TR01,2020-08-31,Normal,Monóxido de Carbono,198.0
TR01,2019-12-13,Normal,Monóxido de Carbono,110.0
TR01,2019-04-03,Normal,Monóxido de Carbono,168.0
TR01,2018-09-19,Normal,Monóxido de Carbono,98.0
TR01,2018-03-15,Normal,Monóxido de Carbono,94.0
TR01,2017-08-02,Normal,Monóxido de Carbono,122.0
TR02,2026-02-19,Normal,Acetileno,0.0
TR02,2025-07-30,Normal,Acetileno,0.0
TR02,2024-12-30,Normal,Acetileno,0.0
TR02,2024-07-01,Normal,Acetileno,0.0
TR02,2023-02-14,Normal,Acetileno,0.0
TR02,2022-07-01,Normal,Acetileno,0.0
TR02,2021-07-24,Normal,Acetileno,0.0
TR02,2020-08-31,Normal,Acetileno,0.0
TR02,2019-12-12,Normal,Acetileno,0.0
TR02,2019-04-03,Normal,Acetileno,0.0
TR02,2019-01-17,Normal,Acetileno,0.0
TR02,2018-03-15,Normal,Acetileno,0.0
TR02,2026-02-19,Normal,Dióxido de Carbono,5393.0
TR02,2025-07-30,Normal,Dióxido de Carbono,3699.0
TR02,2024-12-30,Normal,Dióxido de Carbono,3894.0
TR02,2024-07-01,Normal,Dióxido de Carbono,4218.0
TR02,2023-02-14,Normal,Dióxido de Carbono,2342.0
TR02,2022-07-01,Normal,Dióxido de Carbono,2244.0
TR02,2021-07-24,Normal,Dióxido de Carbono,1679.0
TR02,2020-08-31,Normal,Dióxido de Carbono,1699.0
TR02,2019-12-12,Normal,Dióxido de Carbono,441.0
TR02,2019-04-03,Normal,Dióxido de Carbono,1248.0
TR02,2019-01-17,Normal,Dióxido de Carbono,356.0
TR02,2018-03-15,Normal,Dióxido de Carbono,220.0
TR02,2026-02-19,Normal,Etano,1.0
TR02,2025-07-30,Normal,Etano,1.0
TR02,2024-12-30,Normal,Etano,2.0
TR02,2024-07-01,Normal,Etano,0.0
